Duggirala,Rama,Ravizza,,Wesley,,,Park,Oren,,,SÁNCHEZ-CARRIÓN,,Park,Yan,,,,,Lamp,Ravizza,,,Yan,,,,,,Riccaiardi,SÁNCHEZ-CARRIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÁNCHEZ-CARRIÓN,,Manelis,Mattfeld,31
Falkenberg,Riccaiardi,Richter,,Yan,,,Qin,Park,,,Veltman,,Rama,Yoo1,,,,,Leung,Schneiders,,,Yoo1,,,,,,SÁNCHEZ-CARRIÓN,Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Savini,,Mattfeld,Park,6
Fusar-Poli,Sabri,Savini,,,,,Rama,Qin,,,Yoo1,,Richter,Yoo2,,,,,Luo,Veltman,,,Yoo2,,,,,,Schmidt,Schneiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoo1,,Oren,Qin,6
Gillis,SÁNCHEZ-CARRIÓN,,,,,,Ravizza,Rama,,,Yoo2,,Savini,,,,,,Malisza,Yoo1,,,,,,,,,Schneiders,Yoo1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoo2,,Park,Ravizza,20
Johannsen,Savini,,,,,,Riccaiardi,Ravizza,,,,,Spreng,,,,,,Park,Yoo2,,,,,,,,,Spreng,Yoo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Qin,Reynolds,11
Lamp,Schmidt,,,,,,Richter,Reynolds,,,,,Veltman,,,,,,Rama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rama,Sabri,11
Leung,Schneiders,,,,,,Sabri,Riccaiardi,,,,,Yoo1,,,,,,Riccaiardi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ravizza,SÁNCHEZ-CARRIÓN,14
Li,Spreng,,,,,,SÁNCHEZ-CARRIÓN,Richter,,,,,Yoo2,,,,,,Sabri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Riccaiardi,Schmidt,
Luo,Thornton,,,,,,Savini,Sabri,,,,,Zhou,,,,,,SÁNCHEZ-CARRIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Richter,Schneiders,7
Lythe,Wesley,,,,,,Schmidt,SÁNCHEZ-CARRIÓN,,,,,,,,,,,Savini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sabri,Spreng,
Malisza,Yan,,,,,,Schneiders,Savini,,,,,,,,,,,Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SÁNCHEZ-CARRIÓN,Wesley,7
Manelis,Yoo1,,,,,,Veltman,Schmidt,,,,,,,,,,,Schneiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schmidt,Yoo1,12
Mattfeld,Yoo2,,,,,,Yoo1,Schneiders,,,,,,,,,,,Spreng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schneiders,Yoo2,5
Oren,,,,,,,Yoo2,Spreng,,,,,,,,,,,Yan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Spreng,,7
Park,,,,,,,Yüksel,Veltman,,,,,,,,,,,Yoo1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Veltman,,22
Qin,,,,,,,Zhou,Yan,,,,,,,,,,,Yoo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Wesley,,9
Rama,,,,,,,,Yoo1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoo1,,40
Ravizza,,,,,,,,Yoo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yoo2,,9
Reynolds,,,,,,,,Yüksel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Riccaiardi,,,,,,,,Zhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45
Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Sabri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12
SÁNCHEZ-CARRIÓN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
Savini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Schmidt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
Schneiders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40
Spreng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Thornton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Veltman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9
Wesley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
Wu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Yan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
Yoo1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Yoo2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39
Yüksel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
Zhou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
